slug,name,brand,asin,amazonUrl,affiliateUrl,category,tier
"milwaukee-m12-compact-inflator-2475","Milwaukee M12 Compact Inflator 2475-20 (Bare Tool)","Milwaukee",B07CTY3W98,"https://www.amazon.com/dp/B07CTY3W98","https://www.amazon.com/dp/B07CTY3W98?tag=blackboxsuppl-20","Tire Inflators",top
"anker-solix-c300-portable-power","Anker SOLIX C300 Portable Power Station","Anker",B0D62GMQ3F,"https://www.amazon.com/dp/B0D62GMQ3F","https://www.amazon.com/dp/B0D62GMQ3F?tag=blackboxsuppl-20","Power & Charging",top
"boulder-tools-heavy-duty-tire","Boulder Tools Heavy Duty Tire Repair / Plug Kit","Boulder Tools",B01E635PGA,"https://www.amazon.com/dp/B01E635PGA","https://www.amazon.com/dp/B01E635PGA?tag=blackboxsuppl-20","Roadside Safety",top
"iottie-velox-magnetic-wireless-charging","iOttie Velox Magnetic Wireless Charging Air Vent Mount (MagSafe)","iOttie",B098HD3B4L,"https://www.amazon.com/dp/B098HD3B4L","https://www.amazon.com/dp/B098HD3B4L?tag=blackboxsuppl-20","Car Utility",top
"fanttik-t8-apex-2000a-jump","Fanttik T8 Apex 2000A Jump Starter with LED Display, 65W PD","Fanttik",B09CTJMLQP,"https://www.amazon.com/dp/B09CTJMLQP","https://www.amazon.com/dp/B09CTJMLQP?tag=blackboxsuppl-20","Jump Starters",top
"drop-stop-car-seat-gap","Drop Stop Car Seat Gap Filler (Set of 2 + Pad & Light)","Drop Stop",B00BYH6C1E,"https://www.amazon.com/dp/B00BYH6C1E","https://www.amazon.com/dp/B00BYH6C1E?tag=blackboxsuppl-20","Car Utility",top
"dewalt-20v-max-corded-cordless","DeWalt 20V MAX Corded/Cordless Inflator DCC020IB (Bare Tool)","DeWalt",B07H39S9JQ,"https://www.amazon.com/dp/B07H39S9JQ","https://www.amazon.com/dp/B07H39S9JQ?tag=blackboxsuppl-20","Tire Inflators",top
"astroai-portable-air-compressor-tire","AstroAI Portable Air Compressor Tire Inflator (12V DC)","AstroAI",B07KT11VBL,"https://www.amazon.com/dp/B07KT11VBL","https://www.amazon.com/dp/B07KT11VBL?tag=blackboxsuppl-20","Roadside Safety",top
"ancel-ba101-12v-car-battery","ANCEL BA101 12V Car Battery & Alternator Tester","ANCEL",B01M0ARG3X,"https://www.amazon.com/dp/B01M0ARG3X","https://www.amazon.com/dp/B01M0ARG3X?tag=blackboxsuppl-20","Car Utility",top
"vantrue-n4","Vantrue N4 (3CH Front + Cabin + Rear)","Vantrue",B083V6K8RH,"https://www.amazon.com/dp/B083V6K8RH","https://www.amazon.com/dp/B083V6K8RH?tag=blackboxsuppl-20","Dash Cams",top
"nebo-slyde-king-2k-flashlight","NEBO SLYDE King 2K Flashlight & Work Light","NEBO",B0CZ3VN95T,"https://www.amazon.com/dp/B0CZ3VN95T","https://www.amazon.com/dp/B0CZ3VN95T?tag=blackboxsuppl-20","Car Utility",top
"astroai-l7-compact-cordless-tire","AstroAI L7 Compact Cordless Tire Inflator (150 PSI, under 1 lb)","AstroAI",B0CS3B7MD8,"https://www.amazon.com/dp/B0CS3B7MD8","https://www.amazon.com/dp/B0CS3B7MD8?tag=blackboxsuppl-20","Tire Inflators",top
"gooloo-gp4000-4000a-peak-lithium","GOOLOO GP4000 4000A Peak Lithium Jump Starter","GOOLOO",B09HJH1S41,"https://www.amazon.com/dp/B09HJH1S41","https://www.amazon.com/dp/B09HJH1S41?tag=blackboxsuppl-20","Jump Starters",top
"anker-prime-power-bank","Anker Prime Power Bank (27,650mAh, 250W)","Anker",B0BYP2F3SG,"https://www.amazon.com/dp/B0BYP2F3SG","https://www.amazon.com/dp/B0BYP2F3SG?tag=blackboxsuppl-20","Power & Charging",top
"nebo-big-larry-3-rechargeable","NEBO Big Larry 3 Rechargeable Magnetic Work Light","NEBO",B08Z3CV7MT,"https://www.amazon.com/dp/B08Z3CV7MT","https://www.amazon.com/dp/B08Z3CV7MT?tag=blackboxsuppl-20","Roadside Safety",top
"rhino-usa-recovery-tow-strap","Rhino USA Recovery Tow Strap (3 in x 20 ft, 31,518 lb)","Rhino USA",B01M1SMPOS,"https://www.amazon.com/dp/B01M1SMPOS","https://www.amazon.com/dp/B01M1SMPOS?tag=blackboxsuppl-20","Car Utility",top
"lamicall-car-headrest-tablet-holder","Lamicall Car Headrest Tablet Holder (3-in-1 Extension Arm)","Lamicall",B0BRRPP5KH,"https://www.amazon.com/dp/B0BRRPP5KH","https://www.amazon.com/dp/B0BRRPP5KH?tag=blackboxsuppl-20","Car Utility",top
"redtiger-f7n","REDTIGER F7N (4K Front + Rear)","REDTIGER",B08TT1RRGP,"https://www.amazon.com/dp/B08TT1RRGP","https://www.amazon.com/dp/B08TT1RRGP?tag=blackboxsuppl-20","Dash Cams",support
"dewalt-dxaeps14-2000-peak-amp","DeWalt DXAEPS14 2000-Peak-Amp Jump Starter / Power Station","DeWalt",B0CL8RYBKX,"https://www.amazon.com/dp/B0CL8RYBKX","https://www.amazon.com/dp/B0CL8RYBKX?tag=blackboxsuppl-20","Jump Starters",top
"fanttik-slim-v8-apex-cordless","Fanttik Slim V8 APEX Cordless Car Vacuum","Fanttik",B0CQYTNNW7,"https://www.amazon.com/dp/B0CQYTNNW7","https://www.amazon.com/dp/B0CQYTNNW7?tag=blackboxsuppl-20","Car Utility",top
"drive-auto-car-trash-can","Drive Auto Car Trash Can — Collapsible, Leakproof (Large)","Drive Auto Products",B08CNJSXHK,"https://www.amazon.com/dp/B08CNJSXHK","https://www.amazon.com/dp/B08CNJSXHK?tag=blackboxsuppl-20","Car Utility",top
"70mai-dash-cam-a810","70mai Dash Cam A810 (4K, STARVIS 2)","70mai",B0CF966QVG,"https://www.amazon.com/dp/B0CF966QVG","https://www.amazon.com/dp/B0CF966QVG?tag=blackboxsuppl-20","Dash Cams",support
"noco-boost-xl-gb50-1500a","NOCO Boost XL GB50 1500A UltraSafe Lithium Jump Starter","NOCO",B07MVY7K43,"https://www.amazon.com/dp/B07MVY7K43","https://www.amazon.com/dp/B07MVY7K43?tag=blackboxsuppl-20","Jump Starters",support
"anker-737-power-bank","Anker 737 Power Bank (PowerCore 24K, 140W)","Anker",B09VPHVT2Z,"https://www.amazon.com/dp/B09VPHVT2Z","https://www.amazon.com/dp/B09VPHVT2Z?tag=blackboxsuppl-20","Power & Charging",top
"first-aid-only-298-piece","First Aid Only 298-Piece All-Purpose First Aid Kit","First Aid Only",B0FNYD1VQK,"https://www.amazon.com/dp/B0FNYD1VQK","https://www.amazon.com/dp/B0FNYD1VQK?tag=blackboxsuppl-20","Roadside Safety",support
"avid-power-20v-cordless-impact","AVID POWER 20V Cordless Impact Wrench 1/2in Kit (330 ft-lbs)","AVID POWER",B09G992B9C,"https://www.amazon.com/dp/B09G992B9C","https://www.amazon.com/dp/B09G992B9C?tag=blackboxsuppl-20","Car Utility",top
"garmin-dash-cam-mini-2","Garmin Dash Cam Mini 2","Garmin",B0931YZ82P,"https://www.amazon.com/dp/B0931YZ82P","https://www.amazon.com/dp/B0931YZ82P?tag=blackboxsuppl-20","Dash Cams",support
"vantrue-e1-pro-4k-mini","Vantrue E1 Pro 4K Mini","Vantrue",B0DSKXJV3H,"https://www.amazon.com/dp/B0DSKXJV3H","https://www.amazon.com/dp/B0DSKXJV3H?tag=blackboxsuppl-20","Dash Cams",support
"cartman-reflective-warning-triangle-kit","CARTMAN Reflective Warning Triangle Kit (3-Pack, DOT Approved)","CARTMAN",B00VA1F1TS,"https://www.amazon.com/dp/B00VA1F1TS","https://www.amazon.com/dp/B00VA1F1TS?tag=blackboxsuppl-20","Roadside Safety",support
"jackery-solarsaga-100w-portable-solar","Jackery SolarSaga 100W Portable Solar Panel","Jackery",B0D5CCY5Y2,"https://www.amazon.com/dp/B0D5CCY5Y2","https://www.amazon.com/dp/B0D5CCY5Y2?tag=blackboxsuppl-20","Power & Charging",support
"hoto-portable-tire-inflator-pro","HOTO Portable Tire Inflator Pro (7500mAh Cordless)","HOTO",B0CQ1RCJV7,"https://www.amazon.com/dp/B0CQ1RCJV7","https://www.amazon.com/dp/B0CQ1RCJV7?tag=blackboxsuppl-20","Tire Inflators",support
"avapow-6000a-car-battery-jump","AVAPOW 6000A Car Battery Jump Starter","AVAPOW",B08NPGCFSG,"https://www.amazon.com/dp/B08NPGCFSG","https://www.amazon.com/dp/B08NPGCFSG?tag=blackboxsuppl-20","Jump Starters",support
"anker-nano-car-charger","Anker Nano Car Charger (167.5W, 3 Ports)","Anker",B0CZ7BL16W,"https://www.amazon.com/dp/B0CZ7BL16W","https://www.amazon.com/dp/B0CZ7BL16W?tag=blackboxsuppl-20","Power & Charging",top
"70mai-portable-tire-inflator-tp05","70mai Portable Tire Inflator TP05 (150 PSI Cordless)","70mai",B0BRZRZW97,"https://www.amazon.com/dp/B0BRZRZW97","https://www.amazon.com/dp/B0BRZRZW97?tag=blackboxsuppl-20","Tire Inflators",support
"gooloo-gp2000-2000a-compact-lithium","GOOLOO GP2000 2000A Compact Lithium Jump Starter","GOOLOO",B0C5M36W2G,"https://www.amazon.com/dp/B0C5M36W2G","https://www.amazon.com/dp/B0C5M36W2G?tag=blackboxsuppl-20","Jump Starters",support
"swiss-safe-emergency-mylar-thermal","Swiss Safe Emergency Mylar Thermal Blanket (4-Pack)","Swiss Safe",B01LZN0KGB,"https://www.amazon.com/dp/B01LZN0KGB","https://www.amazon.com/dp/B01LZN0KGB?tag=blackboxsuppl-20","Roadside Safety",support
"vaclife-cordless-tire-inflator-vl798","VacLife Cordless Tire Inflator VL798 (150 PSI)","VacLife",B0BY1F9B2C,"https://www.amazon.com/dp/B0BY1F9B2C","https://www.amazon.com/dp/B0BY1F9B2C?tag=blackboxsuppl-20","Tire Inflators",support
"ryobi-one-18v-cordless-high","Ryobi ONE+ 18V Cordless High-Pressure Inflator P737D (Tool Only)","Ryobi",B0821S1TZG,"https://www.amazon.com/dp/B0821S1TZG","https://www.amazon.com/dp/B0821S1TZG?tag=blackboxsuppl-20","Tire Inflators",support
"baseus-blade-100w-20-000mah","Baseus Blade 100W 20,000mAh Laptop Power Bank","Baseus",B0DK8V9LSV,"https://www.amazon.com/dp/B0DK8V9LSV","https://www.amazon.com/dp/B0DK8V9LSV?tag=blackboxsuppl-20","Power & Charging",support
"maxsa-escaper-buddy-traction-mats","MAXSA Escaper Buddy Traction Mats (2-Pack)","MAXSA Innovations",B00AV2HONS,"https://www.amazon.com/dp/B00AV2HONS","https://www.amazon.com/dp/B00AV2HONS?tag=blackboxsuppl-20","Roadside Safety",support
"autowit-supercap-2-batteryless-supercapacitor","Autowit SuperCap 2 Batteryless Supercapacitor Jump Starter","Autowit",B08LGL6339,"https://www.amazon.com/dp/B08LGL6339","https://www.amazon.com/dp/B08LGL6339?tag=blackboxsuppl-20","Jump Starters",support
"epauto-12v-dc-portable-air","EPAuto 12V DC Portable Air Compressor Pump (Corded Value Pick)","EPAuto",B01L9WSTEG,"https://www.amazon.com/dp/B01L9WSTEG","https://www.amazon.com/dp/B01L9WSTEG?tag=blackboxsuppl-20","Tire Inflators",support
"bestek-300w-car-power-inverter","BESTEK 300W Car Power Inverter (Dual AC + Dual USB)","BESTEK",B0191E8XWC,"https://www.amazon.com/dp/B0191E8XWC","https://www.amazon.com/dp/B0191E8XWC?tag=blackboxsuppl-20","Power & Charging",support
"swigzy-car-cup-holder-expander","Swigzy Car Cup Holder Expander Adapter (Stanley/Yeti/Hydro Flask)","",B0752DZ1SB,"https://www.amazon.com/dp/B0752DZ1SB","https://amzn.to/4xYA9Nc","Car Utility",support
"invisible-glass-95161-reach-clean","Invisible Glass 95161 Reach & Clean Windshield Wand","",B0017K69MA,"https://www.amazon.com/dp/B0017K69MA","https://amzn.to/44DwK8S","Car Utility",support
"cerakote-ceramic-headlight-restoration-kit","CERAKOTE Ceramic Headlight Restoration Kit (10 Wipe)","",B084RQKLV8,"https://www.amazon.com/dp/B084RQKLV8","https://amzn.to/445PXQA","Car Utility",support
"saucemoto-dip-clip","Saucemoto Dip Clip - In-Car Sauce Holder (2 Pack)","",B07D1KW3PB,"https://www.amazon.com/dp/B07D1KW3PB","https://amzn.to/4wnRkGs","Car Utility",support
"folex-instant-carpet-spot-remover","FOLEX Instant Carpet Spot Remover (32 oz)","",B0F2CT978P,"https://www.amazon.com/dp/B0F2CT978P","https://amzn.to/3QLqXeo","Car Utility",support
"rightline-gear-moki-car-door","Rightline Gear Moki Car Door Step (Roof Access Latch Step)","",B07JMTVP9N,"https://www.amazon.com/dp/B07JMTVP9N","https://amzn.to/4xTGhGB","Car Utility",support
